iter	Passed	Remaining
0	153	152848
1	154	77283
2	156	51880
3	157	39205
4	158	31550
5	159	26452
6	160	22759
7	161	20006
8	162	17851
9	162	16121
10	163	14717
11	164	13534
12	165	12542
13	165	11679
14	166	10954
15	167	10321
16	168	9769
17	170	9278
18	171	8840
19	172	8438
20	173	8068
21	173	7725
22	174	7415
23	175	7135
24	176	6875
25	177	6637
26	177	6411
27	178	6204
28	179	6011
29	180	5839
30	181	5681
31	182	5528
32	184	5392
33	185	5273
34	186	5140
35	187	5014
36	188	4894
37	188	4782
38	189	4673
39	190	4570
40	191	4471
41	192	4381
42	192	4294
43	193	4208
44	194	4127
45	195	4053
46	196	3981
47	197	3912
48	198	3845
49	199	3789
50	200	3730
51	201	3672
52	202	3613
53	202	3556
54	203	3501
55	204	3449
56	205	3400
57	206	3350
58	207	3303
59	208	3258
60	208	3212
61	209	3171
62	210	3130
63	211	3090
64	212	3051
65	213	3020
66	214	2985
67	215	2949
68	216	2915
69	217	2883
70	217	2848
71	218	2817
72	219	2784
73	220	2753
74	220	2724
75	221	2693
76	222	2664
77	223	2636
78	223	2608
79	225	2587
80	226	2564
81	226	2541
82	227	2517
83	228	2496
84	229	2475
85	230	2451
86	231	2429
87	232	2409
88	233	2390
89	234	2373
90	235	2353
91	236	2332
92	237	2313
93	237	2293
94	238	2273
95	239	2255
96	240	2237
97	241	2219
98	241	2200
99	242	2184
100	243	2168
101	244	2153
102	245	2138
103	246	2122
104	247	2107
105	248	2092
106	248	2077
107	249	2064
108	250	2049
109	251	2035
110	252	2021
111	253	2007
112	254	1995
113	255	1982
114	255	1969
115	257	1958
116	257	1946
117	258	1934
118	259	1921
119	260	1911
120	261	1899
121	262	1888
122	263	1876
123	263	1864
124	264	1853
125	265	1841
126	266	1830
127	266	1818
128	267	1807
129	268	1796
130	269	1786
131	270	1775
132	270	1765
133	271	1756
134	272	1746
135	273	1736
136	274	1728
137	275	1719
138	276	1710
139	276	1701
140	278	1693
141	278	1685
142	279	1674
143	280	1666
144	281	1657
145	281	1649
146	282	1641
147	283	1633
148	284	1625
149	285	1618
150	286	1611
151	287	1602
152	288	1594
153	288	1586
154	289	1578
155	290	1570
156	291	1563
157	292	1557
158	293	1551
159	294	1544
160	294	1534
161	294	1525
162	295	1518
163	296	1509
164	297	1503
165	297	1495
166	298	1488
167	299	1481
168	299	1474
169	300	1468
170	301	1463
171	302	1456
172	303	1449
173	303	1442
174	304	1436
175	305	1431
176	306	1425
177	307	1420
178	308	1415
179	309	1411
180	310	1405
181	311	1399
182	312	1394
183	313	1388
184	313	1381
185	314	1375
186	315	1369
187	315	1364
188	316	1359
189	317	1354
190	318	1349
191	319	1344
192	319	1337
193	320	1332
194	321	1325
195	321	1319
196	322	1312
197	322	1307
198	323	1301
199	323	1295
200	324	1290
201	325	1286
202	326	1281
203	327	1276
204	328	1272
205	328	1266
206	329	1261
207	330	1257
208	331	1253
